,,number,Microsoft,Amazon,IBM,Apple
MSFT,Jan-00,1,39.81,64.56,100.52,25.94
MSFT,Feb-00,2,36.35,68.87,92.11,28.66
MSFT,Mar-00,3,43.22,67,106.11,33.95
MSFT,Apr-00,4,28.37,55.19,99.95,31.01
MSFT,May-00,5,25.45,48.31,96.31,21
MSFT,Jun-00,6,32.54,36.31,98.33,26.19
MSFT,Jul-00,7,28.4,30.12,100.74,25.41
MSFT,Aug-00,8,28.4,41.5,118.62,30.47
MSFT,Sep-00,9,24.53,38.44,101.19,12.88
MSFT,Oct-00,10,28.02,36.62,88.5,9.78
MSFT,Nov-00,11,23.34,24.69,84.12,8.25
MSFT,Dec-00,12,17.65,15.56,76.47,7.44
MSFT,1-Jan,13,24.84,17.31,100.76,10.81
MSFT,1-Feb,14,24,10.19,89.98,9.12
MSFT,1-Mar,15,22.25,10.23,86.63,11.03
MSFT,1-Apr,16,27.56,15.78,103.7,12.74
MSFT,1-May,17,28.14,16.69,100.82,9.98
MSFT,1-Jun,18,29.7,14.15,102.35,11.62
MSFT,1-Jul,19,26.93,12.49,94.87,9.4
MSFT,1-Aug,20,23.21,8.94,90.25,9.27
MSFT,1-Sep,21,20.82,5.97,82.82,7.76
MSFT,1-Oct,22,23.65,6.98,97.58,8.78
MSFT,1-Nov,23,26.12,11.32,104.5,10.65
MSFT,1-Dec,24,26.95,10.82,109.36,10.95
MSFT,2-Jan,25,25.92,14.19,97.54,12.36
MSFT,2-Feb,26,23.73,14.1,88.82,10.85
MSFT,2-Mar,27,24.53,14.3,94.15,11.84
MSFT,2-Apr,28,21.26,16.69,75.82,12.14
MSFT,2-May,29,20.71,18.23,72.97,11.65
MSFT,2-Jun,30,22.25,16.25,65.31,8.86
MSFT,2-Jul,31,19.52,14.45,63.86,7.63
MSFT,2-Aug,32,19.97,14.94,68.52,7.38
MSFT,2-Sep,33,17.79,15.93,53.01,7.25
MSFT,2-Oct,34,21.75,19.36,71.76,8.03
MSFT,2-Nov,35,23.46,23.35,79.16,7.75
MSFT,2-Dec,36,21.03,18.89,70.58,7.16
MSFT,3-Jan,37,19.31,21.85,71.22,7.18
MSFT,3-Feb,38,19.34,22.01,71.13,7.51
MSFT,3-Mar,39,19.76,26.03,71.57,7.07
MSFT,3-Apr,40,20.87,28.69,77.47,7.11
MSFT,3-May,41,20.09,35.89,80.48,8.98
MSFT,3-Jun,42,20.93,36.32,75.42,9.53
MSFT,3-Jul,43,21.56,41.64,74.28,10.54
MSFT,3-Aug,44,21.65,46.32,75.12,11.31
